date,action,ticker,name,reason
2021-04-19,added,CARA,,"derived from wiki revision diff (rev 1018733047 @ 2021-04-19, prev 2021-03-31)"
2021-04-19,added,IDCC,,"derived from wiki revision diff (rev 1018733047 @ 2021-04-19, prev 2021-03-31)"
2021-04-19,added,RILY,,"derived from wiki revision diff (rev 1018733047 @ 2021-04-19, prev 2021-03-31)"
2021-04-19,added,UFS,,"derived from wiki revision diff (rev 1018733047 @ 2021-04-19, prev 2021-03-31)"
2021-04-19,removed,CKH,,"derived from wiki revision diff (rev 1018733047 @ 2021-04-19, prev 2021-03-31)"
2021-04-19,removed,EGOV,,"derived from wiki revision diff (rev 1018733047 @ 2021-04-19, prev 2021-03-31)"
2021-04-19,removed,MIK,,"derived from wiki revision diff (rev 1018733047 @ 2021-04-19, prev 2021-03-31)"
2021-04-19,removed,MTSC,,"derived from wiki revision diff (rev 1018733047 @ 2021-04-19, prev 2021-03-31)"
2021-05-27,added,AVNS,,"derived from wiki revision diff (rev 1025389262 @ 2021-05-27, prev 2021-04-19)"
2021-05-27,added,EFC,,"derived from wiki revision diff (rev 1025389262 @ 2021-05-27, prev 2021-04-19)"
2021-05-27,added,GNW,,"derived from wiki revision diff (rev 1025389262 @ 2021-05-27, prev 2021-04-19)"
2021-05-27,added,JYNT,,"derived from wiki revision diff (rev 1025389262 @ 2021-05-27, prev 2021-04-19)"
2021-05-27,added,TBBK,,"derived from wiki revision diff (rev 1025389262 @ 2021-05-27, prev 2021-04-19)"
2021-05-27,added,UTL,,"derived from wiki revision diff (rev 1025389262 @ 2021-05-27, prev 2021-04-19)"
2021-05-27,removed,AEGN,,"derived from wiki revision diff (rev 1025389262 @ 2021-05-27, prev 2021-04-19)"
2021-05-27,removed,CUB,,"derived from wiki revision diff (rev 1025389262 @ 2021-05-27, prev 2021-04-19)"
2021-05-27,removed,GLUU,,"derived from wiki revision diff (rev 1025389262 @ 2021-05-27, prev 2021-04-19)"
2021-05-27,removed,NSA,,"derived from wiki revision diff (rev 1025389262 @ 2021-05-27, prev 2021-04-19)"
2021-05-27,removed,RCM,,"derived from wiki revision diff (rev 1025389262 @ 2021-05-27, prev 2021-04-19)"
2021-05-27,removed,WDR,,"derived from wiki revision diff (rev 1025389262 @ 2021-05-27, prev 2021-04-19)"
2021-06-26,added,AMEH,,"derived from wiki revision diff (rev 1030576925 @ 2021-06-26, prev 2021-05-27)"
2021-06-26,added,ORGO,,"derived from wiki revision diff (rev 1030576925 @ 2021-06-26, prev 2021-05-27)"
2021-06-26,added,POLY,,"derived from wiki revision diff (rev 1030576925 @ 2021-06-26, prev 2021-05-27)"
2021-06-26,added,SLQT,,"derived from wiki revision diff (rev 1030576925 @ 2021-06-26, prev 2021-05-27)"
2021-06-26,added,SVC,,"derived from wiki revision diff (rev 1030576925 @ 2021-06-26, prev 2021-05-27)"
2021-06-26,added,TWO,,"derived from wiki revision diff (rev 1030576925 @ 2021-06-26, prev 2021-05-27)"
2021-06-26,removed,CATM,,"derived from wiki revision diff (rev 1030576925 @ 2021-06-26, prev 2021-05-27)"
2021-06-26,removed,CROX,,"derived from wiki revision diff (rev 1030576925 @ 2021-06-26, prev 2021-05-27)"
2021-06-26,removed,CTB,,"derived from wiki revision diff (rev 1030576925 @ 2021-06-26, prev 2021-05-27)"
2021-06-26,removed,ELY,,"derived from wiki revision diff (rev 1030576925 @ 2021-06-26, prev 2021-05-27)"
2021-06-26,removed,LCI,,"derived from wiki revision diff (rev 1030576925 @ 2021-06-26, prev 2021-05-27)"
2021-06-26,removed,PLT,,"derived from wiki revision diff (rev 1030576925 @ 2021-06-26, prev 2021-05-27)"
2021-07-15,added,ATGE,,"derived from wiki revision diff (rev 1033750783 @ 2021-07-15, prev 2021-06-26)"
2021-07-15,added,MSEX,,"derived from wiki revision diff (rev 1033750783 @ 2021-07-15, prev 2021-06-26)"
2021-07-15,added,SPNT,,"derived from wiki revision diff (rev 1033750783 @ 2021-07-15, prev 2021-06-26)"
2021-07-15,removed,BPFH,,"derived from wiki revision diff (rev 1033750783 @ 2021-07-15, prev 2021-06-26)"
2021-07-15,removed,LMNX,,"derived from wiki revision diff (rev 1033750783 @ 2021-07-15, prev 2021-06-26)"
2021-07-15,removed,TPRE,,"derived from wiki revision diff (rev 1033750783 @ 2021-07-15, prev 2021-06-26)"
2021-08-17,added,ETD,,"derived from wiki revision diff (rev 1039175407 @ 2021-08-17, prev 2021-07-15)"
2021-08-17,added,INT,,"derived from wiki revision diff (rev 1039175407 @ 2021-08-17, prev 2021-07-15)"
2021-08-17,added,LKFN,,"derived from wiki revision diff (rev 1039175407 @ 2021-08-17, prev 2021-07-15)"
2021-08-17,added,STRA,,"derived from wiki revision diff (rev 1039175407 @ 2021-08-17, prev 2021-07-15)"
2021-08-17,removed,BELFB,,"derived from wiki revision diff (rev 1039175407 @ 2021-08-17, prev 2021-07-15)"
2021-08-17,removed,ETH,,"derived from wiki revision diff (rev 1039175407 @ 2021-08-17, prev 2021-07-15)"
2021-08-17,removed,GME,,"derived from wiki revision diff (rev 1039175407 @ 2021-08-17, prev 2021-07-15)"
2021-08-17,removed,SPOK,,"derived from wiki revision diff (rev 1039175407 @ 2021-08-17, prev 2021-07-15)"
2021-09-23,added,BLFS,,"derived from wiki revision diff (rev 1045975901 @ 2021-09-23, prev 2021-08-17)"
2021-09-23,added,CNK,,"derived from wiki revision diff (rev 1045975901 @ 2021-09-23, prev 2021-08-17)"
2021-09-23,added,HCSG,,"derived from wiki revision diff (rev 1045975901 @ 2021-09-23, prev 2021-08-17)"
2021-09-23,added,LGND,,"derived from wiki revision diff (rev 1045975901 @ 2021-09-23, prev 2021-08-17)"
2021-09-23,added,QURE,,"derived from wiki revision diff (rev 1045975901 @ 2021-09-23, prev 2021-08-17)"
2021-09-23,added,THS,,"derived from wiki revision diff (rev 1045975901 @ 2021-09-23, prev 2021-08-17)"
2021-09-23,added,TRMK,,"derived from wiki revision diff (rev 1045975901 @ 2021-09-23, prev 2021-08-17)"
2021-09-23,added,WW,,"derived from wiki revision diff (rev 1045975901 @ 2021-09-23, prev 2021-08-17)"
2021-09-23,removed,CBB,,"derived from wiki revision diff (rev 1045975901 @ 2021-09-23, prev 2021-08-17)"
2021-09-23,removed,CORE,,"derived from wiki revision diff (rev 1045975901 @ 2021-09-23, prev 2021-08-17)"
2021-09-23,removed,MSTR,,"derived from wiki revision diff (rev 1045975901 @ 2021-09-23, prev 2021-08-17)"
2021-09-23,removed,SAIA,,"derived from wiki revision diff (rev 1045975901 @ 2021-09-23, prev 2021-08-17)"
2021-09-23,removed,SYKE,,"derived from wiki revision diff (rev 1045975901 @ 2021-09-23, prev 2021-08-17)"
2021-09-23,removed,TISI,,"derived from wiki revision diff (rev 1045975901 @ 2021-09-23, prev 2021-08-17)"
2021-09-23,removed,UIHC,,"derived from wiki revision diff (rev 1045975901 @ 2021-09-23, prev 2021-08-17)"
2021-09-23,removed,USCR,,"derived from wiki revision diff (rev 1045975901 @ 2021-09-23, prev 2021-08-17)"
2021-10-27,added,CCSI,,"derived from wiki revision diff (rev 1052150903 @ 2021-10-27, prev 2021-09-23)"
2021-10-27,added,HRMY,,"derived from wiki revision diff (rev 1052150903 @ 2021-10-27, prev 2021-09-23)"
2021-10-27,added,OPRX,,"derived from wiki revision diff (rev 1052150903 @ 2021-10-27, prev 2021-09-23)"
2021-10-27,added,SLVM,,"derived from wiki revision diff (rev 1052150903 @ 2021-10-27, prev 2021-09-23)"
2021-10-27,added,TREE,,"derived from wiki revision diff (rev 1052150903 @ 2021-10-27, prev 2021-09-23)"
2021-10-27,removed,KRG,,"derived from wiki revision diff (rev 1052150903 @ 2021-10-27, prev 2021-09-23)"
2021-10-27,removed,LDL,,"derived from wiki revision diff (rev 1052150903 @ 2021-10-27, prev 2021-09-23)"
2021-10-27,removed,RGS,,"derived from wiki revision diff (rev 1052150903 @ 2021-10-27, prev 2021-09-23)"
2021-10-27,removed,RPAI,,"derived from wiki revision diff (rev 1052150903 @ 2021-10-27, prev 2021-09-23)"
2021-10-27,removed,STMP,,"derived from wiki revision diff (rev 1052150903 @ 2021-10-27, prev 2021-09-23)"
2021-11-25,added,CDMO,,"derived from wiki revision diff (rev 1057095763 @ 2021-11-25, prev 2021-10-27)"
2021-11-25,added,CIVI,,"derived from wiki revision diff (rev 1057095763 @ 2021-11-25, prev 2021-10-27)"
2021-11-25,added,FBRT,,"derived from wiki revision diff (rev 1057095763 @ 2021-11-25, prev 2021-10-27)"
2021-11-25,added,LYLT,,"derived from wiki revision diff (rev 1057095763 @ 2021-11-25, prev 2021-10-27)"
2021-11-25,added,NTCT,,"derived from wiki revision diff (rev 1057095763 @ 2021-11-25, prev 2021-10-27)"
2021-11-25,added,ONL,,"derived from wiki revision diff (rev 1057095763 @ 2021-11-25, prev 2021-10-27)"
2021-11-25,added,THRY,,"derived from wiki revision diff (rev 1057095763 @ 2021-11-25, prev 2021-10-27)"
2021-11-25,removed,AAOI,,"derived from wiki revision diff (rev 1057095763 @ 2021-11-25, prev 2021-10-27)"
2021-11-25,removed,BCEI,,"derived from wiki revision diff (rev 1057095763 @ 2021-11-25, prev 2021-10-27)"
2021-11-25,removed,CADE,,"derived from wiki revision diff (rev 1057095763 @ 2021-11-25, prev 2021-10-27)"
2021-11-25,removed,CMO,,"derived from wiki revision diff (rev 1057095763 @ 2021-11-25, prev 2021-10-27)"
2021-11-25,removed,DAKT,,"derived from wiki revision diff (rev 1057095763 @ 2021-11-25, prev 2021-10-27)"
2021-11-25,removed,ECHO,,"derived from wiki revision diff (rev 1057095763 @ 2021-11-25, prev 2021-10-27)"
2021-11-25,removed,IVC,,"derived from wiki revision diff (rev 1057095763 @ 2021-11-25, prev 2021-10-27)"
2021-12-22,added,CARS,,"derived from wiki revision diff (rev 1061579576 @ 2021-12-22, prev 2021-11-25)"
2021-12-22,added,EBS,,"derived from wiki revision diff (rev 1061579576 @ 2021-12-22, prev 2021-11-25)"
2021-12-22,added,KAR,,"derived from wiki revision diff (rev 1061579576 @ 2021-12-22, prev 2021-11-25)"
2021-12-22,added,NKTR,,"derived from wiki revision diff (rev 1061579576 @ 2021-12-22, prev 2021-11-25)"
2021-12-22,added,NVEE,,"derived from wiki revision diff (rev 1061579576 @ 2021-12-22, prev 2021-11-25)"
2021-12-22,added,TDS,,"derived from wiki revision diff (rev 1061579576 @ 2021-12-22, prev 2021-11-25)"
2021-12-22,added,TR,,"derived from wiki revision diff (rev 1061579576 @ 2021-12-22, prev 2021-11-25)"
2021-12-22,added,VRE,,"derived from wiki revision diff (rev 1061579576 @ 2021-12-22, prev 2021-11-25)"
2021-12-22,removed,CLI,,"derived from wiki revision diff (rev 1061579576 @ 2021-12-22, prev 2021-11-25)"
2021-12-22,removed,DSPG,,"derived from wiki revision diff (rev 1061579576 @ 2021-12-22, prev 2021-11-25)"
2021-12-22,removed,M,,"derived from wiki revision diff (rev 1061579576 @ 2021-12-22, prev 2021-11-25)"
2021-12-22,removed,MDP,,"derived from wiki revision diff (rev 1061579576 @ 2021-12-22, prev 2021-11-25)"
2021-12-22,removed,POWI,,"derived from wiki revision diff (rev 1061579576 @ 2021-12-22, prev 2021-11-25)"
2021-12-22,removed,RAVN,,"derived from wiki revision diff (rev 1061579576 @ 2021-12-22, prev 2021-11-25)"
2021-12-22,removed,UFS,,"derived from wiki revision diff (rev 1061579576 @ 2021-12-22, prev 2021-11-25)"
2021-12-22,removed,VICR,,"derived from wiki revision diff (rev 1061579576 @ 2021-12-22, prev 2021-11-25)"
2022-01-25,added,AORT,,"derived from wiki revision diff (rev 1067905484 @ 2022-01-25, prev 2021-12-22)"
2022-01-25,added,DOUG,,"derived from wiki revision diff (rev 1067905484 @ 2022-01-25, prev 2021-12-22)"
2022-01-25,added,ITOS,,"derived from wiki revision diff (rev 1067905484 @ 2022-01-25, prev 2021-12-22)"
2022-01-25,removed,CRY,,"derived from wiki revision diff (rev 1067905484 @ 2022-01-25, prev 2021-12-22)"
2022-01-25,removed,MGLN,,"derived from wiki revision diff (rev 1067905484 @ 2022-01-25, prev 2021-12-22)"
2022-01-25,removed,MTRX,,"derived from wiki revision diff (rev 1067905484 @ 2022-01-25, prev 2021-12-22)"
2022-02-18,added,CMP,,"derived from wiki revision diff (rev 1072585161 @ 2022-02-18, prev 2022-01-25)"
2022-02-18,added,CRSR,,"derived from wiki revision diff (rev 1072585161 @ 2022-02-18, prev 2022-01-25)"
2022-02-18,added,JACK,,"derived from wiki revision diff (rev 1072585161 @ 2022-02-18, prev 2022-01-25)"
2022-02-18,added,ROCC,,"derived from wiki revision diff (rev 1072585161 @ 2022-02-18, prev 2022-01-25)"
2022-02-18,added,TWNK,,"derived from wiki revision diff (rev 1072585161 @ 2022-02-18, prev 2022-01-25)"
2022-02-18,added,UE,,"derived from wiki revision diff (rev 1072585161 @ 2022-02-18, prev 2022-01-25)"
2022-02-18,added,XPEL,,"derived from wiki revision diff (rev 1072585161 @ 2022-02-18, prev 2022-01-25)"
2022-02-18,removed,FMBI,,"derived from wiki revision diff (rev 1072585161 @ 2022-02-18, prev 2022-01-25)"
2022-02-18,removed,GWB,,"derived from wiki revision diff (rev 1072585161 @ 2022-02-18, prev 2022-01-25)"
2022-02-18,removed,ONB,,"derived from wiki revision diff (rev 1072585161 @ 2022-02-18, prev 2022-01-25)"
2022-02-18,removed,PDCE,,"derived from wiki revision diff (rev 1072585161 @ 2022-02-18, prev 2022-01-25)"
2022-02-18,removed,PVAC,,"derived from wiki revision diff (rev 1072585161 @ 2022-02-18, prev 2022-01-25)"
2022-02-18,removed,SPPI,,"derived from wiki revision diff (rev 1072585161 @ 2022-02-18, prev 2022-01-25)"
2022-02-18,removed,WTS,,"derived from wiki revision diff (rev 1072585161 @ 2022-02-18, prev 2022-01-25)"
2022-03-16,added,ASO,,"derived from wiki revision diff (rev 1077485333 @ 2022-03-16, prev 2022-02-18)"
2022-03-16,added,CRNC,,"derived from wiki revision diff (rev 1077485333 @ 2022-03-16, prev 2022-02-18)"
2022-03-16,added,GDEN,,"derived from wiki revision diff (rev 1077485333 @ 2022-03-16, prev 2022-02-18)"
2022-03-16,added,ZIMV,,"derived from wiki revision diff (rev 1077485333 @ 2022-03-16, prev 2022-02-18)"
2022-03-16,removed,CPS,,"derived from wiki revision diff (rev 1077485333 @ 2022-03-16, prev 2022-02-18)"
2022-03-16,removed,KRA,,"derived from wiki revision diff (rev 1077485333 @ 2022-03-16, prev 2022-02-18)"
2022-03-16,removed,RRC,,"derived from wiki revision diff (rev 1077485333 @ 2022-03-16, prev 2022-02-18)"
2022-03-16,removed,TRHC,,"derived from wiki revision diff (rev 1077485333 @ 2022-03-16, prev 2022-02-18)"
2022-04-26,added,ATEN,,"derived from wiki revision diff (rev 1084778223 @ 2022-04-26, prev 2022-03-16)"
2022-04-26,added,EMBC,,"derived from wiki revision diff (rev 1084778223 @ 2022-04-26, prev 2022-03-16)"
2022-04-26,added,GOGO,,"derived from wiki revision diff (rev 1084778223 @ 2022-04-26, prev 2022-03-16)"
2022-04-26,added,PRG,,"derived from wiki revision diff (rev 1084778223 @ 2022-04-26, prev 2022-03-16)"
2022-04-26,added,RCUS,,"derived from wiki revision diff (rev 1084778223 @ 2022-04-26, prev 2022-03-16)"
2022-04-26,added,SONO,,"derived from wiki revision diff (rev 1084778223 @ 2022-04-26, prev 2022-03-16)"
2022-04-26,added,VIR,,"derived from wiki revision diff (rev 1084778223 @ 2022-04-26, prev 2022-03-16)"
2022-04-26,removed,BNED,,"derived from wiki revision diff (rev 1084778223 @ 2022-04-26, prev 2022-03-16)"
2022-04-26,removed,FLOW,,"derived from wiki revision diff (rev 1084778223 @ 2022-04-26, prev 2022-03-16)"
2022-04-26,removed,FOE,,"derived from wiki revision diff (rev 1084778223 @ 2022-04-26, prev 2022-03-16)"
2022-04-26,removed,FRGI,,"derived from wiki revision diff (rev 1084778223 @ 2022-04-26, prev 2022-03-16)"
2022-04-26,removed,GTLS,,"derived from wiki revision diff (rev 1084778223 @ 2022-04-26, prev 2022-03-16)"
2022-04-26,removed,ISBC,,"derived from wiki revision diff (rev 1084778223 @ 2022-04-26, prev 2022-03-16)"
2022-04-26,removed,MTDR,,"derived from wiki revision diff (rev 1084778223 @ 2022-04-26, prev 2022-03-16)"
2022-05-26,added,AOSL,,"derived from wiki revision diff (rev 1089952206 @ 2022-05-26, prev 2022-04-26)"
2022-05-26,added,DVAX,,"derived from wiki revision diff (rev 1089952206 @ 2022-05-26, prev 2022-04-26)"
2022-05-26,added,TPH,,"derived from wiki revision diff (rev 1089952206 @ 2022-05-26, prev 2022-04-26)"
2022-05-26,removed,ECOL,,"derived from wiki revision diff (rev 1089952206 @ 2022-05-26, prev 2022-04-26)"
2022-05-26,removed,EPAY,,"derived from wiki revision diff (rev 1089952206 @ 2022-05-26, prev 2022-04-26)"
2022-05-26,removed,IRT,,"derived from wiki revision diff (rev 1089952206 @ 2022-05-26, prev 2022-04-26)"
2022-06-22,added,EYE,,"derived from wiki revision diff (rev 1094398428 @ 2022-06-22, prev 2022-05-26)"
2022-06-22,added,IRWD,,"derived from wiki revision diff (rev 1094398428 @ 2022-06-22, prev 2022-05-26)"
2022-06-22,added,RAMP,,"derived from wiki revision diff (rev 1094398428 @ 2022-06-22, prev 2022-05-26)"
2022-06-22,added,TRN,,"derived from wiki revision diff (rev 1094398428 @ 2022-06-22, prev 2022-05-26)"
2022-06-22,added,URBN,,"derived from wiki revision diff (rev 1094398428 @ 2022-06-22, prev 2022-05-26)"
