date,action,ticker,name,reason
2021-04-08,removed,MTSC,MTS Systems Corporation,CARA replaced MTSC after it was acquired by Amphenol Corp. [ 199 ]
2021-04-08,added,CARA,Cara Therapeutics,CARA replaced MTSC after it was acquired by Amphenol Corp. [ 199 ]
2021-04-12,removed,CKH,SEACOR Holdings,CKH was acquired by American Industrial Partners. IDCC was moved from the S&P 400 to replace it as it was more representative of the small cap market space. [ 198 ]
2021-04-12,added,IDCC,InterDigital,CKH was acquired by American Industrial Partners. IDCC was moved from the S&P 400 to replace it as it was more representative of the small cap market space. [ 198 ]
2021-04-15,removed,MIK,The Michaels Companies,RILY replaced MIK after it was acquired by Apollo Global Management . [ 197 ]
2021-04-15,added,RILY,B. Riley Financial,RILY replaced MIK after it was acquired by Apollo Global Management . [ 197 ]
2021-04-20,removed,EGOV,NIC Inc.,EGOV was acquired component Tyler Technologies . UFS was moved from the S&P 400 to replace it as it was more representative of the small cap market space. [ 196 ]
2021-04-20,added,UFS,Domtar Corp.,EGOV was acquired component Tyler Technologies . UFS was moved from the S&P 400 to replace it as it was more representative of the small cap market space. [ 196 ]
2021-05-03,removed,GLUU,Glu Mobile,GLUU was acquired by Electronic Arts . GNW was moved from the S&P 400 to replace it as it was more representative of the small cap market space. [ 195 ]
2021-05-03,removed,WDR,Waddell & Reed,UTL replaced WDR after it was acquired by Macquarie Group . [ 195 ]
2021-05-03,added,GNW,Genworth Financial,GLUU was acquired by Electronic Arts . GNW was moved from the S&P 400 to replace it as it was more representative of the small cap market space. [ 195 ]
2021-05-03,added,UTL,Unitil Corporation,UTL replaced WDR after it was acquired by Macquarie Group . [ 195 ]
2021-05-07,removed,RCM,R1 RCM,TBBK replaced RCM which replaced Perspecta Inc. in the S&P 400 after it was acquired by Veritas Capital . [ 194 ]
2021-05-07,added,TBBK,"The Bancorp, Inc.",TBBK replaced RCM which replaced Perspecta Inc. in the S&P 400 after it was acquired by Veritas Capital . [ 194 ]
2021-05-14,removed,NSA,National Storage Affiliates Trust,EFC replaced NSA which replaced Charles River Laboratories in the S&P 400 after it was moved to the S&P 500 . [ 193 ]
2021-05-14,added,EFC,Ellington Financial,EFC replaced NSA which replaced Charles River Laboratories in the S&P 400 after it was moved to the S&P 500 . [ 193 ]
