ticker,name,cik,gics_sector,gics_sub_industry,date_added
AAMI,Acadian Asset Management Inc.,0001748824,Financials,Asset Management & Custody Banks,
AAP,"Advance Auto Parts, Inc.",0001158449,Consumer Discretionary,Automotive Retail,
AAT,American Assets Trust,0001500217,Real Estate,Diversified REITs,
ABCB,Ameris Bancorp,0000351569,Financials,Regional Banks,
ABG,Asbury Automotive Group,0001144980,Consumer Discretionary,Automotive Retail,
ABM,"ABM Industries, Inc.",0000771497,Industrials,Environmental & Facilities Services,
ABR,Arbor Realty Trust,0001253986,Financials,Mortgage REITs,
ACA,"Arcosa, Inc.",0001739445,Industrials,Construction & Engineering,
ACAD,Acadia Pharmaceuticals,0001070494,Health Care,Pharmaceuticals,
ACHC,Acadia Healthcare,0001520697,Health Care,Health Care Facilities,
ACIW,ACI Worldwide,0000935036,Information Technology,Application Software,
ACLS,"Axcelis Technologies, Inc.",0001113232,Information Technology,Semiconductor Materials & Equipment,
ACMR,"ACM Research, Inc.",0001680062,Information Technology,Semiconductor Materials & Equipment,
ACT,"Enact Holdings, Inc.",0001823529,Financials,Commercial & Residential Mortgage Finance,
ADAM,"Adamas Trust, Inc.",0001273685,Real Estate,Mortgage REITs,
ADEA,"Adeia, Inc.",0001803696,Information Technology,IT Consulting & Other Services,
ADMA,"ADMA Biologics, Inc.",0001368514,Health Care,Biotechnology,
ADNT,Adient,0001670541,Consumer Discretionary,Automotive Parts & Equipment,
ADT,ADT Inc.,0001703056,Consumer Discretionary,Specialized Consumer Services,
ADUS,Addus HomeCare Corp.,0001468328,Health Care,Health Care Services,
AEO,American Eagle Outfitters,0000919012,Consumer Discretionary,Apparel Retail,
AESI,"Atlas Energy Solutions, Inc.",0001984060,Energy,Oil & Gas Equipment & Services,
AGNT,"eXp World Holdings, Inc.",0001495932,Real Estate,Real Estate Services,
AGO,Assured Guaranty Ltd.,0001273813,Financials,Property & Casualty Insurance,
AGX,"Argan, Inc.",0000100591,Industrials,Construction & Engineering,
AGYS,"Agilysys, Inc.",0000078749,Information Technology,Application Software,
AHCO,AdaptHealth Corp.,0001725255,Health Care,Health Care Equipment,
AIN,Albany International Corp.,0000819793,Industrials,Industrial Machinery & Supplies & Components,
AIR,AAR CORP .,0000001750,Industrials,Aerospace & Defense,
AKR,Acadia Realty Trust,0000899629,Real Estate,Retail REITs,
ALG,Alamo Group,0000897077,Industrials,Construction Machinery & Heavy Transportation Equipment,
ALGT,Allegiant Travel Company,0001362468,Industrials,Passenger Airlines,
ALHC,"Alignment Healthcare, Inc.",0001832466,Health Care,Health Care Services,
ALKS,Alkermes plc,0001520262,Health Care,Pharmaceuticals,
ALRM,"Alarm.Com, Inc.",0001459200,Financials,Application Software,
AMN,"Amn Healthcare Services, Inc.",0001142750,Health Care,Health Care Services,
AMPH,"Amphstar Pharmaceuticals, Inc.",0001297184,Health Care,Pharmaceuticals,
AMR,"Alpha Metallurgical Resources, Inc.",0001704715,Materials,Steel,
AMRX,Amneal Pharmaceuticals,0001723128,Health Care,Pharmaceuticals,
AMSF,"Amerisafe, Inc.",0001018979,Financials,Property & Casualty Insurance,
AMTM,Amentum,0002011286,Industrials,Diversified Support Services,
ANDE,"The Andersons, Inc.",0000821026,Consumer Staples,Food Distributors,
ANIP,"ANI Pharmaceuticals, Inc.",0001023024,Health Care,Pharmaceuticals,
AORT,Artivion,0000784199,Health Care,Health Care Equipment,
AOSL,"Alpha and Omega Semiconductor, Ltd.",0001387467,Information Technology,Semiconductors,
APAM,"Artisan Partners Asset Management, Inc.",0001517302,Financials,Asset Management & Custody Banks,
APLE,"Apple Hospitality REIT, Inc.",0001418121,Real Estate,Hotel & Resort REITs,
APOG,"Apogee Enterprises, Inc.",0000006845,Industrials,Building Products,
ARCB,ArcBest Corp.,0000894405,Industrials,Cargo Ground Transportation,
ARLO,Arlo Technologies,0001736946,Information Technology,Communications Equipment,
AROC,"Archrock, Inc.",0001389050,Energy,Oil & Gas Equipment & Services,
ARR,Armour Residential REIT,0001428205,Real Estate,Mortgage REITs,
ASO,Academy Sports + Outdoors,0001817358,Consumer Discretionary,Specialty Stores,
ASTE,"Astec Industries, Inc.",0000792987,Industrials,Construction Machinery & Heavy Transportation Equipment,
ASTH,"Astrana Health, Inc.",0001083446,Health Care,Health Care Facilities,
ATEN,"A10 Networks, Inc.",0001580808,Information Technology,Systems Software,
ATMU,Atmus Filtration Technologies Inc.,0001921963,Industrials,Industrial Machinery & Supplies & Components,
AUB,"Atlantic Union Bankshares, Corp.",0000883948,Financials,Regional Banks,
AVA,Avista Corporation,0000104918,Utilities,Multi-Utilities,
AVNS,"Avanos Medical, Inc.",0001606498,Health Care,Health Care Supplies,
AWI,"Armstrong World Industries, Inc.",0000007431,Industrials,Building Products,
AWR,American States Water Company,0001056903,Utilities,Water Utilities,
AX,"Axos Financial, Inc.",0001299709,Financials,Regional Banks,
AZTA,"Azenta, Inc.",0000933974,Health Care,Life Sciences Tools & Services,
AZZ,"AZZ, Inc.",0000008947,Industrials,Heavy Electrical Equipment,
BANC,"Banc Of California, Inc.",0001169770,Financials,Regional Banks,
BANF,Bancfirst Corp,0000760498,Financials,Regional Banks,
BANR,Banner Corporation,0000946673,Financials,Regional Banks,
BBT,Beacon Financial Corp.,0001108134,Financials,Regional Banks,
BCC,Boise Cascade,0001328581,Industrials,Building Products,
BCPC,Balchem Corporation,0000009326,Materials,Specialty Chemicals,
BFAM,Bright Horizons Family Solutions Inc.,0001437578,Consumer Discretionary,Specialized Consumer Services,
BFH,"Bread Financial Holdings, Inc.",0001101215,Financials,Consumer Finance,
BFS,"Saul Centers, Inc.",0000907254,Real Estate,Retail REITs,
BGC,"BGC Group, Inc.",0001094831,Financials,Investment Banking & Brokerage,
BHE,"Benchmark Electronics, Inc.",0000863436,Information Technology,Electronic Manufacturing Services,
BJRI,"BJ's Restaurants, Inc.",0001013488,Consumer Discretionary,Restaurants,
BKE,"The Buckle, Inc.",0000885245,Consumer Discretionary,Apparel Retail,
BKU,"BankUnited, Inc.",0001504008,Financials,Regional Banks,
BL,"BlackLine Systems, Inc.",0001666134,Information Technology,Application Software,
BLFS,"BioLife Solutions, Inc.",0000834365,Health Care,Health Care Supplies,
BLKB,Blackbaud,0001280058,Information Technology,Application Software,
BMI,"Badger Meter, Inc.",0000009092,Information Technology,Electronic Equipment & Instruments,
BNL,"Broadstone Net Lease, Inc.",0001424182,Real Estate,Industrial REITs,
BOH,Bank of Hawaii,0000046195,Financials,Regional Banks,
BOOT,"Boot Barn Holdings, Inc.",0001610250,Consumer Discretionary,Apparel Retail,
BOX,"Box, Inc.",0001372612,Information Technology,Application Software,
BRC,Brady Corporation,0000746598,Industrials,Commercial Printing,
BTSG,"BrightSpring Health Services, Inc.",0001865782,Health Care,Health Care Services,
BTU,"Peabody Energy, Inc.",0001064728,Energy,Coal & Consumable Fuels,
BXMT,"Blackstone Mortgage Trust, Inc.",0001061630,Financials,Mortgage REITs,
CACC,Credit Acceptance,0000885550,Financials,Specialized Finance,
CAG,Conagra Brands,0000023217,Consumer Staples,Packaged Foods & Meats,
CAKE,"The Cheesecake Factory, Inc.",0000887596,Consumer Discretionary,Restaurants,
CALM,"Cal-Maine Foods, Inc.",0000016160,Consumer Staples,Packaged Foods & Meats,
CALX,Calix,0001406666,Information Technology,Application Software,
CALY,Callaway Golf Company,0000837465,Consumer Discretionary,Leisure Products,
CARG,CarGurus,0001494259,Communication Services,Interactive Media & Services,
CASH,"Pathward Financial, Inc.",0000907471,Financials,Regional Banks,
CATY,Cathay General Bancorp,0000861842,Financials,Regional Banks,
CBRL,Cracker Barrel,0001067294,Consumer Discretionary,Restaurants,
CBU,"Community Bank System, Inc.",0000723188,Financials,Regional Banks,
CC,Chemours,0001627223,Materials,Diversified Chemicals,
CCOI,"Cogent Communications Holdings, Inc.",0001158324,Communication Services,Alternative Carriers,
CCS,"Century Communities, Inc.",0001576940,Consumer Discretionary,Homebuilding,
CE,Celanese,0001306830,Materials,Specialty Chemicals,
CENT,Central Garden & Pet Company,0000887733,Consumer Staples,Household Products,
