effective_date,ticker
2021-03-31,AAN
2021-03-31,AAOI
2021-03-31,AAON
2021-03-31,AAT
2021-03-31,AAWW
2021-03-31,ABCB
2021-03-31,ABG
2021-03-31,ABM
2021-03-31,ABTX
2021-03-31,ACA
2021-03-31,ACLS
2021-03-31,ADC
2021-03-31,ADTN
2021-03-31,ADUS
2021-03-31,AEGN
2021-03-31,AEIS
2021-03-31,AEL
2021-03-31,AGO
2021-03-31,AGYS
2021-03-31,AHH
2021-03-31,AIN
2021-03-31,AIR
2021-03-31,AIT
2021-03-31,AJRD
2021-03-31,AKR
2021-03-31,ALEX
2021-03-31,ALG
2021-03-31,ALGT
2021-03-31,ALRM
2021-03-31,AMBC
2021-03-31,AMCX
2021-03-31,AMN
2021-03-31,AMPH
2021-03-31,AMSF
2021-03-31,AMWD
2021-03-31,ANDE
2021-03-31,ANF
2021-03-31,ANGO
2021-03-31,ANIK
2021-03-31,ANIP
2021-03-31,APEI
2021-03-31,APOG
2021-03-31,ARCB
2021-03-31,ARI
2021-03-31,ARLO
2021-03-31,ARNC
2021-03-31,AROC
2021-03-31,ARR
2021-03-31,ASIX
2021-03-31,ASTE
2021-03-31,ATI
2021-03-31,ATNI
2021-03-31,AVA
2021-03-31,AVAV
2021-03-31,AVD
2021-03-31,AWR
2021-03-31,AX
2021-03-31,AXL
2021-03-31,AZZ
2021-03-31,B
2021-03-31,BANC
2021-03-31,BANF
2021-03-31,BANR
2021-03-31,BBBY
2021-03-31,BCC
2021-03-31,BCEI
2021-03-31,BCOR
2021-03-31,BCPC
2021-03-31,BDN
2021-03-31,BELFB
2021-03-31,BFS
2021-03-31,BGS
2021-03-31,BHE
2021-03-31,BHLB
2021-03-31,BIG
2021-03-31,BJRI
2021-03-31,BKE
2021-03-31,BKU
2021-03-31,BLMN
2021-03-31,BMI
2021-03-31,BNED
2021-03-31,BOOM
2021-03-31,BOOT
2021-03-31,BPFH
2021-03-31,BRC
2021-03-31,BRKL
2021-03-31,BSIG
2021-03-31,CADE
2021-03-31,CAKE
2021-03-31,CAL
2021-03-31,CALM
2021-03-31,CAMP
2021-03-31,CASH
2021-03-31,CATM
2021-03-31,CATO
2021-03-31,CBB
2021-03-31,CBU
2021-03-31,CCOI
2021-03-31,CCRN
2021-03-31,CCS
2021-03-31,CEIX
2021-03-31,CELH
2021-03-31,CENT
2021-03-31,CENTA
2021-03-31,CENX
2021-03-31,CEVA
2021-03-31,CFFN
2021-03-31,CHCO
2021-03-31,CHCT
2021-03-31,CHEF
2021-03-31,CHRS
2021-03-31,CHS
2021-03-31,CHUY
2021-03-31,CIR
2021-03-31,CKH
2021-03-31,CLB
2021-03-31,CLDT
2021-03-31,CLI
2021-03-31,CLW
2021-03-31,CMO
2021-03-31,CMTL
2021-03-31,CNMD
2021-03-31,CNSL
2021-03-31,CNXN
2021-03-31,COHU
2021-03-31,COKE
2021-03-31,COLB
2021-03-31,COLL
2021-03-31,CONN
2021-03-31,COOP
2021-03-31,CORE
2021-03-31,CORT
2021-03-31,CPE
2021-03-31,CPF
2021-03-31,CPK
2021-03-31,CPS
2021-03-31,CPSI
2021-03-31,CRMT
2021-03-31,CROX
2021-03-31,CRS
2021-03-31,CRVL
2021-03-31,CRY
2021-03-31,CSGS
2021-03-31,CSII
2021-03-31,CSR
2021-03-31,CTB
2021-03-31,CTRE
2021-03-31,CTS
2021-03-31,CUB
2021-03-31,CUBI
2021-03-31,CUTR
2021-03-31,CVBF
2021-03-31,CVCO
2021-03-31,CVET
2021-03-31,CVGW
2021-03-31,CWT
2021-03-31,CXW
2021-03-31,CYH
2021-03-31,CYTK
2021-03-31,DAKT
2021-03-31,DBD
2021-03-31,DBI
2021-03-31,DCOM
2021-03-31,DDD
2021-03-31,DEA
